,Trial,Entry,Replication,DaysAfterTransplanting,Stage,"Cry1Ac,ppmDW"
0,1,D2,1,13,Vegetative,13.009
1,1,D2,2,13,Vegetative,17.992
2,1,D2,3,13,Vegetative,18.235
3,1,D2,4,13,Vegetative,18.723
4,1,D3,1,13,Vegetative,20.876
5,1,D3,2,13,Vegetative,20.569
6,1,D3,3,13,Vegetative,15.273
7,1,D3,4,13,Vegetative,21.448
8,1,M1,1,13,Vegetative,17.69
9,1,M1,2,13,Vegetative,18.788
10,1,M1,3,13,Vegetative,14.266
11,1,M1,4,13,Vegetative,18.575
12,1,M4,1,13,Vegetative,7.541
13,1,M4,2,13,Vegetative,16.605
14,1,M4,3,13,Vegetative,6.283
15,1,M4,4,13,Vegetative,11.888
16,1,M8,1,13,Vegetative,10.171
17,1,M8,2,13,Vegetative,7.764
18,1,M8,3,13,Vegetative,11.478
19,1,M8,4,13,Vegetative,13.895
20,1,D2,1,27,Reproductive,26.003
21,1,D2,2,27,Reproductive,25.412
22,1,D2,3,27,Reproductive,23.392
23,1,D2,4,27,Reproductive,24.687
24,1,D3,1,27,Reproductive,23.499
25,1,D3,2,27,Reproductive,26.361
26,1,D3,3,27,Reproductive,21.817
27,1,D3,4,27,Reproductive,26.494
28,1,M1,1,27,Reproductive,24.582
29,1,M1,2,27,Reproductive,26.38
30,1,M1,3,27,Reproductive,23.399
31,1,M1,4,27,Reproductive,20.06
32,1,M4,1,27,Reproductive,23.613
33,1,M4,2,27,Reproductive,17.849
34,1,M4,3,27,Reproductive,11.889
35,1,M4,4,27,Reproductive,19.946
36,1,M8,1,27,Reproductive,22.579
37,1,M8,2,27,Reproductive,23.105
38,1,M8,3,27,Reproductive,22.922
39,1,M8,4,27,Reproductive,22.259
40,1,D2,1,76,LateReproductive,21.956
41,1,D2,2,76,LateReproductive,19.601
42,1,D2,3,76,LateReproductive,17.86
43,1,D2,4,76,LateReproductive,20.475
44,1,D3,1,76,LateReproductive,22.917
45,1,D3,2,76,LateReproductive,18.974
46,1,D3,3,76,LateReproductive,18.045
47,1,D3,4,76,LateReproductive,19.348
48,1,M1,1,76,LateReproductive,20.816
49,1,M1,2,76,LateReproductive,19.834
50,1,M1,3,76,LateReproductive,19.436
51,1,M1,4,76,LateReproductive,19.629
52,1,M4,1,76,LateReproductive,21.929
53,1,M4,2,76,LateReproductive,17.924
54,1,M4,3,76,LateReproductive,19.237
55,1,M4,4,76,LateReproductive,18.37
56,1,M8,1,76,LateReproductive,24.974
57,1,M8,2,76,LateReproductive,19.181
58,1,M8,3,76,LateReproductive,19.434
59,1,M8,4,76,LateReproductive,20.817
60,2,D2,1,25,Vegetative,19.269
61,2,D2,2,25,Vegetative,18.629
62,2,D2,3,25,Vegetative,18.878
63,2,D2,4,25,Vegetative,18.713
64,2,D3,1,25,Vegetative,18.569
65,2,D3,2,25,Vegetative,19.429
66,2,D3,3,25,Vegetative,20.03
67,2,D3,4,25,Vegetative,18.681
68,2,M1,1,25,Vegetative,18.721
69,2,M1,2,25,Vegetative,18.282
70,2,M1,3,25,Vegetative,18.681
71,2,M1,4,25,Vegetative,20.565
72,2,M4,1,25,Vegetative,18.149
73,2,M4,2,25,Vegetative,19.185
74,2,M4,3,25,Vegetative,19.313
75,2,M4,4,25,Vegetative,20.224
76,2,M8,1,25,Vegetative,18.769
77,2,M8,2,25,Vegetative,19.156
78,2,M8,3,25,Vegetative,18.014
79,2,M8,4,25,Vegetative,18.81
80,2,D2,1,46,Reproductive,19.871
81,2,D2,2,46,Reproductive,20.328
82,2,D2,3,46,Reproductive,25.025
83,2,D2,4,46,Reproductive,22.078
84,2,D3,1,46,Reproductive,19.616
85,2,D3,2,46,Reproductive,19.034
86,2,D3,3,46,Reproductive,23.639
87,2,D3,4,46,Reproductive,19.312
88,2,M1,1,46,Reproductive,19.258
89,2,M1,2,46,Reproductive,19.436
90,2,M1,3,46,Reproductive,23.689
91,2,M1,4,46,Reproductive,24.11
92,2,M4,1,46,Reproductive,21.062
93,2,M4,2,46,Reproductive,18.962
94,2,M4,3,46,Reproductive,24.127
95,2,M4,4,46,Reproductive,20.094
96,2,M8,1,46,Reproductive,19.212
97,2,M8,2,46,Reproductive,18.831
98,2,M8,3,46,Reproductive,23.166
99,2,M8,4,46,Reproductive,21.058
100,2,D2,1,81,LateReproductive,17.903
101,2,D2,2,81,LateReproductive,24.743
102,2,D2,3,81,LateReproductive,25.251
103,2,D2,4,81,LateReproductive,25.166
104,2,D3,1,81,LateReproductive,18.614
105,2,D3,2,81,LateReproductive,26.321
106,2,D3,3,81,LateReproductive,23.258
107,2,D3,4,81,LateReproductive,23.258
108,2,M1,1,81,LateReproductive,19.207
109,2,M1,2,81,LateReproductive,23.223
110,2,M1,3,81,LateReproductive,23.779
111,2,M1,4,81,LateReproductive,23.073
112,2,M4,1,81,LateReproductive,19.772
113,2,M4,2,81,LateReproductive,22.626
114,2,M4,3,81,LateReproductive,24.019
115,2,M4,4,81,LateReproductive,24.149
116,2,M8,1,81,LateReproductive,20.579
117,2,M8,2,81,LateReproductive,25.639
118,2,M8,3,81,LateReproductive,23.073
119,2,M8,4,81,LateReproductive,24.86
